id,spoiler
0,give them a Kidney
1,"1. Prioritise - say yes when it matters most., 2. Give in a way that is in your own"
2,Have a Bunch of Money
3,Braconid
4,"Cured egg yolks are deliciousbut strong. Because theyre super salty, theyre better used as condiment than as the"
5,John Williams
6,"1. Take a long, warm shower with sweet-smelling essential oils., 2. Create the perfect ambience before you head over to"
7,"Flynn the dog does a lot to help out his 17-year-old human, Hailey Ashmore: He can open"
8,Lord Ivar Mountbatten
9,he coped with putting away too much
10,Who is watching your kids?
11,"""To ensure youre building a good rapport with users, dont be disingenuous or misrepresent your brands"
12,Celia Cruz
13,"""I know how all this works, but what I think is disrespectful is when people start making out that its something I have"
14,"""Malibu,"" the third short story in Ottessa Moshfegh's new collection, spends his time"
15,$117 billion
16,the swine transformation represented the greed that took place during Japans bubble economy of the 80s
17,"The title, Al-Maria says, is in part a reference to the American ""national holiday of shopping,"" but also a no"
18,"1. Get an education, ""At least this one will be free."", 2. Say hello to risk, 3."
19,New York
20,Michael Sam
21,"Police in western Sweden initially thought a man whose car was stuck in the snow was Danish, but after a while they realized"
22,Swoggi is so confident that you will get these discounts that they provide voucher codes for free credits all over the Internet. The one I
23,yellow raincoat
24,Men who paint one fingernail are helping to raise awareness about a very important issue.
25,Can I go to comic con as Luke Skywalker even though Im a girl?
26,Jessica decided to do something that's now taking the internet by storm
27,"Most Americans think climate change, and more frequent and severe natural disasters are linked, according to a new HuffPost/YouGo"
28,"With nearly all precincts reporting,Trump carried a nearly insurmountable 134,000 vote lead  1.4"
29,"Universal Basic Income, or UBI. The program, to be carried out in nearby Oakland, is meant to test a scheme called Universal"
30,United States
31,"This dog would be saying, ""I'm not mad, I'm just disappointed."""
32,Tesco
33,"Not only does it give you serious bang for the buck by including 30 popular Nintendo games for a suggested retail price of just $60,"
34,textbooks
35,he belts out a few of his favorite Broadway tunes
36,"Laziness, he said, stops you from wasting time on things that aren't worth your time."
37,"Austin, Texas"
38,An expert on Lou Gehrigs disease explains what we know about this debilitating condition and how Hawking has beaten
39,blue
40,Blue Light
41,An eagle-eyed Mars anomaly hunter has spotted a strange object that looks like
42,'Parenthood'
43,The sheer amount of garbage isn't the only problem. There also has to be a way to get all of it out of the
44,"albino raccoon, an incredibly rare specimen according to the Indiana Division of Fish and Wildlife."
45,Jason Aldean
